product_title,product_rating,total_reviews,purchased_last_month,discounted_price,original_price,is_best_seller,is_sponsored,has_coupon,buy_box_availability,delivery_date,sustainability_tags,product_image_url,product_page_url,data_collected_at,product_category,discount_percentage
"Duracell Coppertop AA Batteries with Power Boost Ingredients, 28 Count (Pack of 1) Long-lasting Alkaline Double AA Battery in Re-closable Pack for Quick Access and Organized Storage",4.8,16952.0,50000,25.66,25.66,No Badge,Organic,No Coupon,Add to cart,2025-08-29,,https://m.media-amazon.com/images/I/71fTr5+3UVL._AC_UL320_.jpg,,2025-08-21 11:14:47,Storage,0.0
"Beats Solo 4 - Wireless Bluetooth On-Ear Headphones, Apple & Android Compatible, Up to 50 Hours of Battery Life - Cloud Pink",4.6,16222.0,10000,127.49,127.49,No Badge,Organic,No Coupon,,,,https://m.media-amazon.com/images/I/51JNqP2C4rL._AC_UL320_.jpg,https://www.amazon.com/Beats-Solo-Ear-Headphones-Compatible/dp/B0CZPGX972/ref=sr_1_44?dib=eyJ2IjoiMSJ9.LBpBsHuyfrR7CRIcNLKJuNd86w-xTsaEnYcIS2sQiWPBQ-THGMiZLsovvzc6zU2prrcV96oGOYrhT_X_YbP0XY6vdZMKx6b6N8yqNFNh9tVKkb00o7qDalFYVh2aC679dnx8SL_aC5fTv7utJL7qrEshg5lvQghQDR9_0RzNSAKdGCN2S1u8ibaV2lo7CdJtTfmt-FUXHp_DCDiwPbzQvERmPa_wSDQV9OtPye6EVsQfla4GRQw7U7svaPvZTR1zNo1Qa-wL96sYgjP7Mv76TK2r46jfH6HT2KrwVWEVXH4.70OxK_A5AwLXqpRAWujAtKePZBVX0Wf7SRjWmHqbtUI&dib_tag=se&qid=1755800083&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-44,2025-08-21 11:14:47,Phones,0.0
"AMD RYZEN 7 9800X3D 8-Core, 16-Thread Desktop Processor",4.8,2377.0,10000,476.5,476.5,Best Seller,Organic,No Coupon,Add to cart,2025-08-29,,https://m.media-amazon.com/images/I/71aHvYUgX1L._AC_UL320_.jpg,https://www.amazon.com/AMD-9800X3D-16-Thread-Desktop-Processor/dp/B0DKFMSMYK/ref=sr_1_45?dib=eyJ2IjoiMSJ9.LBpBsHuyfrR7CRIcNLKJuNd86w-xTsaEnYcIS2sQiWPBQ-THGMiZLsovvzc6zU2prrcV96oGOYrhT_X_YbP0XY6vdZMKx6b6N8yqNFNh9tVKkb00o7qDalFYVh2aC679dnx8SL_aC5fTv7utJL7qrEshg5lvQghQDR9_0RzNSAKdGCN2S1u8ibaV2lo7CdJtTfmt-FUXHp_DCDiwPbzQvERmPa_wSDQV9OtPye6EVsQfla4GRQw7U7svaPvZTR1zNo1Qa-wL96sYgjP7Mv76TK2r46jfH6HT2KrwVWEVXH4.70OxK_A5AwLXqpRAWujAtKePZBVX0Wf7SRjWmHqbtUI&dib_tag=se&qid=1755800083&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-45,2025-08-21 11:14:47,Laptops,0.0
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",4.6,262557.0,10000,79.99,79.99,Best Seller,Organic,No Coupon,Add to cart,2025-08-29,,https://m.media-amazon.com/images/I/51WR+2ePklL._AC_UL320_.jpg,https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07CRG94G3/ref=sr_1_46?dib=eyJ2IjoiMSJ9.LBpBsHuyfrR7CRIcNLKJuNd86w-xTsaEnYcIS2sQiWPBQ-THGMiZLsovvzc6zU2prrcV96oGOYrhT_X_YbP0XY6vdZMKx6b6N8yqNFNh9tVKkb00o7qDalFYVh2aC679dnx8SL_aC5fTv7utJL7qrEshg5lvQghQDR9_0RzNSAKdGCN2S1u8ibaV2lo7CdJtTfmt-FUXHp_DCDiwPbzQvERmPa_wSDQV9OtPye6EVsQfla4GRQw7U7svaPvZTR1zNo1Qa-wL96sYgjP7Mv76TK2r46jfH6HT2KrwVWEVXH4.70OxK_A5AwLXqpRAWujAtKePZBVX0Wf7SRjWmHqbtUI&dib_tag=se&qid=1755800083&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-46,2025-08-21 11:14:47,Storage,0.0
"Apple Pencil (USB-C): Device Compatibility Check Required - Pixel-Perfect Precision, Tilt Sensitivity, Perfect for Note-Taking, Drawing, and Signing Documents. Charges and Pairs with USB-C",4.6,6133.0,10000,97.49,97.49,No Badge,Organic,No Coupon,,,,https://m.media-amazon.com/images/I/41s9DmRSgcL._AC_UL320_.jpg,https://www.amazon.com/Apple-MUWA3AM-A-Pencil-USB-C/dp/B0CL7J12YK/ref=sr_1_47?dib=eyJ2IjoiMSJ9.LBpBsHuyfrR7CRIcNLKJuNd86w-xTsaEnYcIS2sQiWPBQ-THGMiZLsovvzc6zU2prrcV96oGOYrhT_X_YbP0XY6vdZMKx6b6N8yqNFNh9tVKkb00o7qDalFYVh2aC679dnx8SL_aC5fTv7utJL7qrEshg5lvQghQDR9_0RzNSAKdGCN2S1u8ibaV2lo7CdJtTfmt-FUXHp_DCDiwPbzQvERmPa_wSDQV9OtPye6EVsQfla4GRQw7U7svaPvZTR1zNo1Qa-wL96sYgjP7Mv76TK2r46jfH6HT2KrwVWEVXH4.70OxK_A5AwLXqpRAWujAtKePZBVX0Wf7SRjWmHqbtUI&dib_tag=se&qid=1755800083&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-47,2025-08-21 11:14:47,Phones,0.0
"HP 910 Cyan, Magenta, Yellow Ink Cartridges | Works with HP OfficeJet 8010, 8020 Series, HP OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3YN97AN, 3 Count (Pack of 1)",4.6,18532.0,30000,47.89,47.89,No Badge,Organic,No Coupon,,,,https://m.media-amazon.com/images/I/718rOMHM-bS._AC_UL320_.jpg,https://www.amazon.com/HP-Magenta-Yellow-Cartridges-3YN97AN/dp/B07N3G1P55/ref=sr_1_48?dib=eyJ2IjoiMSJ9.LBpBsHuyfrR7CRIcNLKJuNd86w-xTsaEnYcIS2sQiWPBQ-THGMiZLsovvzc6zU2prrcV96oGOYrhT_X_YbP0XY6vdZMKx6b6N8yqNFNh9tVKkb00o7qDalFYVh2aC679dnx8SL_aC5fTv7utJL7qrEshg5lvQghQDR9_0RzNSAKdGCN2S1u8ibaV2lo7CdJtTfmt-FUXHp_DCDiwPbzQvERmPa_wSDQV9OtPye6EVsQfla4GRQw7U7svaPvZTR1zNo1Qa-wL96sYgjP7Mv76TK2r46jfH6HT2KrwVWEVXH4.70OxK_A5AwLXqpRAWujAtKePZBVX0Wf7SRjWmHqbtUI&dib_tag=se&qid=1755800083&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-48,2025-08-21 11:14:47,Laptops,0.0
"KODAK 10.1 Inch WiFi Digital Picture Frame,1280x800 HD IPS Touch Screen, Electronic Smart Photo Frame with 32 GB Memory, Auto-Rotate, Instantly Share Photos/Videos Anywhere",4.1,264.0,,85.99,85.99,No Badge,Sponsored,Save $16.00  with coupon,Add to cart,2025-09-01,,https://m.media-amazon.com/images/I/716bPrNJ0GL._AC_UL320_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDAxNDYzMjM5NDUwMTgxOjE3NTU4MDAwOTg6c3BfYXRmX2Jyb3dzZTozMDA4NDg3MTg3MDE1MDI6OjA6Og&url=%2FKODAK-1280x800-Electronic-Auto-Rotate-Instantly%2Fdp%2FB0DRFCFRBG%2Fref%3Dsr_1_49_sspa%3Fdib%3DeyJ2IjoiMSJ9.R5C5c127FAMdv1j0xqbs6pQ5u90xWfstqcsbRNCzQIb4GLIDNqBc9QICGz5G2hlK3Ei4xa8HM9MOiC50O99Ea9Tdm7L8BV5Au6cJ0jKmAwqyPSvx1TNiKmJrHm5K46m4RWUmHzORxPX0xqJDEaUlBv4ZuAZXPMtm4BYZTbNXBgQPPlcqbpxQ_uwbgfpZZG0wl-D4zEPfu2_vQ6smLwV2D5Huga-ancv_VerflS0cUKCqJaiAzhyhSBVdyedVp-mOthJTff1XghLSMKbjDoNwhPuKBTRIJJIJFjHMtTWpCFE.5MiUObWl1yD0ZNomdJloPRIABnFV2d46HgeYCCUygjY%26dib_tag%3Dse%26qid%3D1755800098%26refinements%3Dp_n_g-101014971069111%253A119653281011%26s%3Delectronics%26sr%3D1-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,2025-08-21 11:15:00,TV & Display,0.0
"PHILIPS TAT1108 Wireless Earbuds,True Wireless Headphones,Powerful Bass with 6 mm Driver,Clear Call with AI Mic,15-Hour Battery Life,Bluetooth v5.3,IPX4 Rating,Ergonomic Design for Comfort,Black",3.9,6335.0,500,29.99,32.72,No Badge,Sponsored,Save $10.00  with coupon,Add to cart,2025-08-29,,https://m.media-amazon.com/images/I/61nxbYHTWKL._AC_UL320_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDAxNDYzMjM5NDUwMTgxOjE3NTU4MDAwOTg6c3BfYXRmX2Jyb3dzZTozMDA1MTI5MjUxMTkwMDI6OjA6Og&url=%2FPHILIPS-TAT1108BK-True-Wireless-Headphones%2Fdp%2FB0CCYKMKGY%2Fref%3Dsr_1_50_sspa%3Fdib%3DeyJ2IjoiMSJ9.R5C5c127FAMdv1j0xqbs6pQ5u90xWfstqcsbRNCzQIb4GLIDNqBc9QICGz5G2hlK3Ei4xa8HM9MOiC50O99Ea9Tdm7L8BV5Au6cJ0jKmAwqyPSvx1TNiKmJrHm5K46m4RWUmHzORxPX0xqJDEaUlBv4ZuAZXPMtm4BYZTbNXBgQPPlcqbpxQ_uwbgfpZZG0wl-D4zEPfu2_vQ6smLwV2D5Huga-ancv_VerflS0cUKCqJaiAzhyhSBVdyedVp-mOthJTff1XghLSMKbjDoNwhPuKBTRIJJIJFjHMtTWpCFE.5MiUObWl1yD0ZNomdJloPRIABnFV2d46HgeYCCUygjY%26dib_tag%3Dse%26qid%3D1755800098%26refinements%3Dp_n_g-101014971069111%253A119653281011%26s%3Delectronics%26sr%3D1-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,2025-08-21 11:15:00,Phones,8.34
"Sanus Height Adjustable Speaker Stand for Sonos Era 300™ - 17"" Height Adjustment Sonos Stand Includes Carpet Spikes & Rubber Pads - Easy DIY Install Comes w/All Hardware - White",4.4,45.0,,179.99,179.99,No Badge,Sponsored,No Coupon,Add to cart,2025-09-01,,https://m.media-amazon.com/images/I/61BRELwvyXL._AC_UL320_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDAxNDYzMjM5NDUwMTgxOjE3NTU4MDAwOTg6c3BfYXRmX2Jyb3dzZTozMDAwNDY5Nzg0MDQzMDI6OjA6Og&url=%2FSanus-Height-Adjustable-Speaker-Stand%2Fdp%2FB0CCG78PTW%2Fref%3Dsr_1_51_sspa%3Fdib%3DeyJ2IjoiMSJ9.R5C5c127FAMdv1j0xqbs6pQ5u90xWfstqcsbRNCzQIb4GLIDNqBc9QICGz5G2hlK3Ei4xa8HM9MOiC50O99Ea9Tdm7L8BV5Au6cJ0jKmAwqyPSvx1TNiKmJrHm5K46m4RWUmHzORxPX0xqJDEaUlBv4ZuAZXPMtm4BYZTbNXBgQPPlcqbpxQ_uwbgfpZZG0wl-D4zEPfu2_vQ6smLwV2D5Huga-ancv_VerflS0cUKCqJaiAzhyhSBVdyedVp-mOthJTff1XghLSMKbjDoNwhPuKBTRIJJIJFjHMtTWpCFE.5MiUObWl1yD0ZNomdJloPRIABnFV2d46HgeYCCUygjY%26dib_tag%3Dse%26qid%3D1755800098%26refinements%3Dp_n_g-101014971069111%253A119653281011%26s%3Delectronics%26sr%3D1-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,2025-08-21 11:15:00,Speakers,0.0
"HP 910XL Black High-yield Ink Cartridge for HP Printers | Works with Printer Series: OfficeJet 8010, 8020; OfficeJet Pro 8020, 8030 | Eligible for Instant Ink | 3YL65AN",4.6,24117.0,20000,52.89,71.87,No Badge,Organic,No Coupon,Add to cart,2025-09-01,,https://m.media-amazon.com/images/I/71-Eh6P5WfL._AC_UL320_.jpg,https://www.amazon.com/HP-910XL-Original-Cartridge-3YL65AN/dp/B07N3FYTW5/ref=sr_1_52?dib=eyJ2IjoiMSJ9.R5C5c127FAMdv1j0xqbs6pQ5u90xWfstqcsbRNCzQIb4GLIDNqBc9QICGz5G2hlK3Ei4xa8HM9MOiC50O99Ea9Tdm7L8BV5Au6cJ0jKmAwqyPSvx1TNiKmJrHm5K46m4RWUmHzORxPX0xqJDEaUlBv4ZuAZXPMtm4BYZTbNXBgQPPlcqbpxQ_uwbgfpZZG0wl-D4zEPfu2_vQ6smLwV2D5Huga-ancv_VerflS0cUKCqJaiAzhyhSBVdyedVp-mOthJTff1XghLSMKbjDoNwhPuKBTRIJJIJFjHMtTWpCFE.5MiUObWl1yD0ZNomdJloPRIABnFV2d46HgeYCCUygjY&dib_tag=se&qid=1755800098&refinements=p_n_g-101014971069111%3A119653281011&s=electronics&sr=1-52,2025-08-21 11:15:00,Laptops,26.41
